Name,FullName,Extension,CreationTime
_מחאה_והנחת_תפילין_המונית_ליד_הגימנסיה_הרצליה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_מחאה_והנחת_תפילין_המונית_ליד_הגימנסיה_הרצליה.mp4,.mp4,7/30/2024 12:56:08 AM
_בין_התנינים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_בין_התנינים.mp4,.mp4,7/30/2024 12:46:32 AM
_חשמלאי_מוסמך.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_חשמלאי_מוסמך.mp4,.mp4,7/30/2024 12:55:51 AM
_הגזענות_של_נאסרללה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_הגזענות_של_נאסרללה.mp4,.mp4,7/30/2024 12:54:45 AM
_ישראל_או_גוי___דקה_של_הלכה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_ישראל_או_גוי___דקה_של_הלכה.mp4,.mp4,7/30/2024 12:48:07 AM
_הכל_בידי_שמים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_הכל_בידי_שמים.mp4,.mp4,7/30/2024 12:47:47 AM
_הדיון_בבה__ד_בהאג.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_הדיון_בבה__ד_בהאג.mp4,.mp4,7/30/2024 12:47:04 AM
_החידושים_בהילולת_הבבא_סאלי.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_החידושים_בהילולת_הבבא_סאלי.mp4,.mp4,7/30/2024 1:05:49 AM
_ינון_מגל_מתרגש_מהשיר_של_שלוימי_גרטנר.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_ינון_מגל_מתרגש_מהשיר_של_שלוימי_גרטנר.mp4,.mp4,7/30/2024 1:07:53 AM
_מתכון_מדובר_צהל.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_מתכון_מדובר_צהל.mp4,.mp4,7/30/2024 1:11:16 AM
_הלווית_סאלח_אל_ערורי_בלבנון.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_הלווית_סאלח_אל_ערורי_בלבנון.mp4,.mp4,7/30/2024 1:06:20 AM
_חיסול_מהאוויר_בעזה.MP4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\995\_חיסול_מהאוויר_בעזה.MP4,.MP4,7/30/2024 12:59:23 AM
